Date,numTimes
1900-01,0
1900-02,0
1900-03,0
1900-04,0
1900-05,0
1900-06,0
1900-07,0
1900-08,0
1900-09,0
1900-10,0
1900-11,0
1900-12,0
1901-01,0
1901-02,0
1901-03,0
1901-04,0
1901-05,0
1901-06,0
1901-07,0
1901-08,0
1901-09,0
1901-10,0
1901-11,0
1901-12,0
1902-01,0
1902-02,0
1902-03,0
1902-04,0
1902-05,0
1902-06,0
1902-07,0
1902-08,0
1902-09,0
1902-10,0
1902-11,0
1902-12,0
1903-01,0
1903-02,0
1903-03,0
1903-04,0
1903-05,0
1903-06,0
1903-07,0
1903-08,0
1903-09,0
1903-10,0
1903-11,0
1903-12,0
1904-01,0
1904-02,0
1904-03,0
1904-04,0
1904-05,0
1904-06,0
1904-07,0
1904-08,0
1904-09,0
1904-10,0
1904-11,0
1904-12,0
1905-01,0
1905-02,0
1905-03,0
1905-04,0
1905-05,0
1905-06,0
1905-07,0
1905-08,0
1905-09,0
1905-10,0
1905-11,0
1905-12,0
1906-01,0
1906-02,0
1906-03,0
1906-04,0
1906-05,0
1906-06,0
1906-07,0
1906-08,0
1906-09,0
1906-10,0
1906-11,0
1906-12,0
1907-01,0
1907-02,0
1907-03,0
1907-04,0
1907-05,0
1907-06,0
1907-07,0
1907-08,0
1907-09,0
1907-10,0
1907-11,0
1907-12,0
1908-01,0
1908-02,0
1908-03,0
1908-04,0
1908-05,0
1908-06,0
1908-07,0
1908-08,0
1908-09,0
1908-10,0
1908-11,0
1908-12,0
1909-01,0
1909-02,0
1909-03,0
1909-04,0
1909-05,0
1909-06,0
1909-07,0
1909-08,0
1909-09,0
1909-10,0
1909-11,0
1909-12,0
1910-01,0
1910-02,1
1910-03,0
1910-04,0
1910-05,0
1910-06,0
1910-07,0
1910-08,0
1910-09,0
1910-10,0
1910-11,0
1910-12,0
1911-01,0
1911-02,0
1911-03,0
1911-04,0
1911-05,0
1911-06,0
1911-07,0
1911-08,0
1911-09,0
1911-10,0
1911-11,0
1911-12,0
1912-01,0
1912-02,0
1912-03,0
1912-04,0
1912-05,0
1912-06,0
1912-07,0
1912-08,0
1912-09,0
1912-10,0
1912-11,0
1912-12,0
1913-01,0
1913-02,0
1913-03,0
1913-04,0
1913-05,0
1913-06,0
1913-07,0
1913-08,0
1913-09,0
1913-10,0
1913-11,0
1913-12,0
1914-01,0
1914-02,0
1914-03,0
1914-04,0
1914-05,0
1914-06,0
1914-07,0
1914-08,0
1914-09,0
1914-10,0
1914-11,0
1914-12,0
1915-01,0
1915-02,0
1915-03,0
1915-04,0
1915-05,0
1915-06,0
1915-07,0
1915-08,0
1915-09,0
1915-10,0
1915-11,0
1915-12,0
1916-01,0
1916-02,0
1916-03,0
1916-04,0
1916-05,0
1916-06,0
1916-07,0
1916-08,0
1916-09,0
1916-10,0
1916-11,0
1916-12,0
1917-01,0
1917-02,0
1917-03,0
1917-04,0
1917-05,0
1917-06,0
1917-07,0
1917-08,0
1917-09,0
1917-10,0
1917-11,0
1917-12,0
1918-01,0
1918-02,0
1918-03,0
1918-04,0
1918-05,0
1918-06,0
1918-07,0
1918-08,0
1918-09,0
1918-10,0
1918-11,0
1918-12,0
1919-01,0
1919-02,0
1919-03,0
1919-04,0
1919-05,0
1919-06,0
1919-07,0
1919-08,0
1919-09,0
1919-10,0
1919-11,0
1919-12,0
1920-01,0
1920-02,0
1920-03,0
1920-04,0
1920-05,0
1920-06,0
1920-07,0
1920-08,0
1920-09,0
1920-10,0
1920-11,0
1920-12,0
1921-01,0
1921-02,0
1921-03,0
1921-04,0
1921-05,0
1921-06,0
1921-07,0
1921-08,0
1921-09,0
1921-10,0
1921-11,0
1921-12,0
1922-01,0
1922-02,0
1922-03,0
1922-04,0
1922-05,0
1922-06,1
1922-07,0
1922-08,0
1922-09,0
1922-10,0
1922-11,0
1922-12,0
1923-01,0
1923-02,0
1923-03,0
1923-04,0
1923-05,0
1923-06,0
1923-07,0
1923-08,0
1923-09,0
1923-10,0
1923-11,0
1923-12,0
1924-01,0
1924-02,0
1924-03,0
1924-04,0
1924-05,0
1924-06,0
1924-07,0
1924-08,0
1924-09,0
1924-10,0
1924-11,0
1924-12,0
1925-01,0
1925-02,0
1925-03,0
1925-04,0
1925-05,0
1925-06,0
1925-07,0
1925-08,0
1925-09,0
1925-10,0
1925-11,0
1925-12,0
1926-01,0
1926-02,0
1926-03,0
1926-04,0
1926-05,0
1926-06,0
1926-07,0
1926-08,0
1926-09,0
1926-10,0
1926-11,0
1926-12,0
1927-01,0
1927-02,0
1927-03,0
1927-04,0
1927-05,0
1927-06,0
1927-07,1
1927-08,0
1927-09,0
1927-10,0
1927-11,0
1927-12,0
1928-01,0
1928-02,0
1928-03,0
1928-04,0
1928-05,0
1928-06,0
1928-07,0
1928-08,0
1928-09,0
1928-10,0
1928-11,0
1928-12,0
1929-01,0
1929-02,0
1929-03,0
1929-04,0
1929-05,0
1929-06,0
1929-07,0
1929-08,0
1929-09,0
1929-10,0
1929-11,0
1929-12,0
1930-01,0
1930-02,0
1930-03,0
1930-04,0
1930-05,0
1930-06,0
1930-07,0
1930-08,0
1930-09,0
1930-10,0
1930-11,0
1930-12,0
1931-01,0
1931-02,0
1931-03,0
1931-04,0
1931-05,0
1931-06,0
1931-07,0
1931-08,0
1931-09,0
1931-10,0
1931-11,0
1931-12,1
1932-01,0
1932-02,0
1932-03,0
